i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
1131,0.5367187500000001,0.5375000000000001,0.9389103945400936,0.93929991668634,0.002633,0.1249,0.015,1,0.08333333333,2
1136,0.53515625,0.5359375000000001,0.9400789609788328,0.9404684831250794,0.002633,0.1249,0.015,1,0.08333333333,2
1432,0.5398437500000002,0.5406250000000001,0.9369627838088616,0.937352305955108,0.002633,0.1249,0.015,1,0.08333333333,2
1434,0.5390625000000001,0.5398437500000002,0.9377418281013544,0.9381313502476007,0.002633,0.1249,0.015,1,0.08333333333,2
1435,0.5398437500000002,0.5406250000000001,0.937352305955108,0.9377418281013544,0.002633,0.1249,0.015,1,0.08333333333,2
1436,0.5398437500000002,0.5406250000000001,0.9377418281013544,0.9381313502476007,0.002633,0.1249,0.015,1,0.08333333333,2
2580,0.5648437500000001,0.565625,0.9213818979590048,0.9217714201052514,0.002633,0.1249,0.015,1,0.08333333333,2
2581,0.5640625,0.5648437500000001,0.9217714201052514,0.9221609422514978,0.002633,0.1249,0.015,1,0.08333333333,2
2592,0.56640625,0.5671875,0.920602853666512,0.9209923758127584,0.002633,0.1249,0.015,1,0.08333333333,2
2596,0.5679687499999999,0.56875,0.9198238093740192,0.9202133315202656,0.002633,0.1249,0.015,1,0.08333333333,2
2597,0.5671875,0.5679687499999999,0.9202133315202656,0.920602853666512,0.002633,0.1249,0.015,1,0.08333333333,2
2601,0.565625,0.56640625,0.9209923758127584,0.9213818979590048,0.002633,0.1249,0.015,1,0.08333333333,2
3430,0.59296875,0.59375,0.9081381449866268,0.9085276671328733,0.002633,0.1249,0.015,1,0.08333333333,2
3432,0.590625,0.5914062499999999,0.9089171892791196,0.909306711425366,0.002633,0.1249,0.015,1,0.08333333333,2
3434,0.5914062499999999,0.5921875,0.9089171892791196,0.909306711425366,0.002633,0.1249,0.015,1,0.08333333333,2
3435,0.590625,0.5914062499999999,0.909306711425366,0.9096962335716126,0.002633,0.1249,0.015,1,0.08333333333,2
3436,0.590625,0.5914062499999999,0.9096962335716126,0.9100857557178588,0.002633,0.1249,0.015,1,0.08333333333,2
3437,0.5914062499999999,0.5921875,0.909306711425366,0.9096962335716126,0.002633,0.1249,0.015,1,0.08333333333,2
3438,0.5914062499999999,0.5921875,0.9096962335716126,0.9100857557178588,0.002633,0.1249,0.015,1,0.08333333333,2
3439,0.5921875,0.59296875,0.9085276671328733,0.9089171892791196,0.002633,0.1249,0.015,1,0.08333333333,2
3440,0.5921875,0.59296875,0.9089171892791196,0.909306711425366,0.002633,0.1249,0.015,1,0.08333333333,2
3441,0.59296875,0.59375,0.9085276671328733,0.9089171892791196,0.002633,0.1249,0.015,1,0.08333333333,2
3547,0.596875,0.59765625,0.9077486228403804,0.9081381449866268,0.002633,0.1249,0.015,1,0.08333333333,2
4694,0.5523437500000001,0.5531250000000001,0.9283932965914404,0.9287828187376868,0.002633,0.1249,0.015,1,0.08333333333,2
4708,0.5546875,0.55546875,0.9268352080064548,0.9272247301527012,0.002633,0.1249,0.015,1,0.08333333333,2
4709,0.55546875,0.55625,0.9264456858602084,0.9268352080064548,0.002633,0.1249,0.015,1,0.08333333333,2
4710,0.55546875,0.55625,0.9268352080064548,0.9272247301527012,0.002633,0.1249,0.015,1,0.08333333333,2
4713,0.55390625,0.5546875,0.9272247301527012,0.9276142522989476,0.002633,0.1249,0.015,1,0.08333333333,2
4714,0.55390625,0.5546875,0.9276142522989476,0.928003774445194,0.002633,0.1249,0.015,1,0.08333333333,2
4715,0.5531250000000001,0.55390625,0.928003774445194,0.9283932965914404,0.002633,0.1249,0.015,1,0.08333333333,2
4716,0.5531250000000001,0.55390625,0.9283932965914404,0.9287828187376868,0.002633,0.1249,0.015,1,0.08333333333,2
4717,0.55390625,0.5546875,0.928003774445194,0.9283932965914404,0.002633,0.1249,0.015,1,0.08333333333,2
4719,0.5546875,0.55546875,0.9272247301527012,0.9276142522989476,0.002633,0.1249,0.015,1,0.08333333333,2
4792,0.55625,0.5570312500000001,0.926056163713962,0.9264456858602084,0.002633,0.1249,0.015,1,0.08333333333,2
4858,0.55078125,0.5515625000000001,0.9291723408839332,0.9295618630301796,0.002633,0.1249,0.015,1,0.08333333333,2
4859,0.55,0.55078125,0.9295618630301796,0.929951385176426,0.002633,0.1249,0.015,1,0.08333333333,2
4860,0.55,0.55078125,0.929951385176426,0.9303409073226724,0.002633,0.1249,0.015,1,0.08333333333,2
4861,0.55078125,0.5515625000000001,0.9295618630301796,0.929951385176426,0.002633,0.1249,0.015,1,0.08333333333,2
4863,0.5515625000000001,0.5523437500000001,0.9287828187376868,0.9291723408839332,0.002633,0.1249,0.015,1,0.08333333333,2
4864,0.5515625000000001,0.5523437500000001,0.9291723408839332,0.9295618630301796,0.002633,0.1249,0.015,1,0.08333333333,2
5128,0.5625,0.56328125,0.9244980751289762,0.9248875972752226,0.002633,0.1249,0.015,1,0.08333333333,2
5129,0.56328125,0.5640625,0.92410855298273,0.9244980751289762,0.002633,0.1249,0.015,1,0.08333333333,2
5130,0.56328125,0.5640625,0.9244980751289762,0.9248875972752226,0.002633,0.1249,0.015,1,0.08333333333,2
5131,0.5625,0.56328125,0.9248875972752226,0.9252771194214692,0.002633,0.1249,0.015,1,0.08333333333,2
5135,0.5640625,0.5648437500000001,0.92410855298273,0.9244980751289762,0.002633,0.1249,0.015,1,0.08333333333,2
6405,0.5101562499999999,0.5109374999999999,0.9595550682911538,0.9599445904374002,0.002633,0.1249,0.015,1,0.08333333333,2
6407,0.5109374999999999,0.51171875,0.9587760239986608,0.9591655461449072,0.002633,0.1249,0.015,1,0.08333333333,2
6408,0.51171875,0.5125,0.9583865018524144,0.9587760239986608,0.002633,0.1249,0.015,1,0.08333333333,2
6410,0.5109374999999999,0.51171875,0.9591655461449072,0.9595550682911538,0.002633,0.1249,0.015,1,0.08333333333,2
6541,0.5179687500000001,0.51875,0.953322713951211,0.9537122360974576,0.002633,0.1249,0.015,1,0.08333333333,2
6589,0.52421875,0.525,0.948648448196254,0.9490379703425004,0.002633,0.1249,0.015,1,0.08333333333,2
6693,0.5132812499999999,0.5140625,0.9564388911211824,0.9568284132674288,0.002633,0.1249,0.015,1,0.08333333333,2
6696,0.51484375,0.515625,0.9552703246824432,0.9556598468286897,0.002633,0.1249,0.015,1,0.08333333333,2
6697,0.51484375,0.515625,0.9556598468286897,0.956049368974936,0.002633,0.1249,0.015,1,0.08333333333,2
6698,0.5140625,0.51484375,0.956049368974936,0.9564388911211824,0.002633,0.1249,0.015,1,0.08333333333,2
6699,0.5140625,0.51484375,0.9564388911211824,0.9568284132674288,0.002633,0.1249,0.015,1,0.08333333333,2
6700,0.51484375,0.515625,0.956049368974936,0.9564388911211824,0.002633,0.1249,0.015,1,0.08333333333,2
6705,0.51640625,0.5171875,0.954101758243704,0.9544912803899503,0.002633,0.1249,0.015,1,0.08333333333,2
6706,0.515625,0.51640625,0.9544912803899503,0.9548808025361968,0.002633,0.1249,0.015,1,0.08333333333,2
6707,0.515625,0.51640625,0.9548808025361968,0.9552703246824432,0.002633,0.1249,0.015,1,0.08333333333,2
