i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
1,0.59296875,0.59375,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
2,0.59296875,0.59375,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
3,0.59375,0.59453125,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
4,0.59375,0.59453125,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
5,0.59453125,0.5953125,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
6,0.59453125,0.5953125,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
7,0.5953125,0.5960937500000001,0.8960629584529878,0.8964524805992342,0.002633,0.1249,0.04,1,0.1249,2
8,0.5953125,0.5960937500000001,0.8964524805992342,0.8968420027454806,0.002633,0.1249,0.04,1,0.1249,2
9,0.5960937500000001,0.596875,0.8960629584529878,0.8964524805992342,0.002633,0.1249,0.04,1,0.1249,2
10,0.5960937500000001,0.596875,0.8964524805992342,0.8968420027454806,0.002633,0.1249,0.04,1,0.1249,2
11,0.5953125,0.5960937500000001,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
12,0.5953125,0.5960937500000001,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
13,0.5960937500000001,0.596875,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
14,0.5960937500000001,0.596875,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
15,0.5984375,0.5992187499999999,0.8952839141604949,0.8956734363067413,0.002633,0.1249,0.04,1,0.1249,2
16,0.5984375,0.5992187499999999,0.8956734363067413,0.8960629584529878,0.002633,0.1249,0.04,1,0.1249,2
17,0.5992187499999999,0.6,0.8952839141604949,0.8956734363067413,0.002633,0.1249,0.04,1,0.1249,2
18,0.5992187499999999,0.6,0.8956734363067413,0.8960629584529878,0.002633,0.1249,0.04,1,0.1249,2
19,0.596875,0.59765625,0.8960629584529878,0.8964524805992342,0.002633,0.1249,0.04,1,0.1249,2
20,0.596875,0.59765625,0.8964524805992342,0.8968420027454806,0.002633,0.1249,0.04,1,0.1249,2
21,0.59765625,0.5984375,0.8960629584529878,0.8964524805992342,0.002633,0.1249,0.04,1,0.1249,2
22,0.59765625,0.5984375,0.8964524805992342,0.8968420027454806,0.002633,0.1249,0.04,1,0.1249,2
23,0.596875,0.59765625,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
24,0.596875,0.59765625,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
25,0.59765625,0.5984375,0.8968420027454806,0.8972315248917271,0.002633,0.1249,0.04,1,0.1249,2
26,0.59765625,0.5984375,0.8972315248917271,0.8976210470379735,0.002633,0.1249,0.04,1,0.1249,2
27,0.5984375,0.5992187499999999,0.8960629584529878,0.8964524805992342,0.002633,0.1249,0.04,1,0.1249,2
28,0.5984375,0.5992187499999999,0.8964524805992342,0.8968420027454806,0.002633,0.1249,0.04,1,0.1249,2
29,0.5992187499999999,0.6,0.8960629584529878,0.8964524805992342,0.002633,0.1249,0.04,1,0.1249,2
