conjecture,cell_id,verified,J_lower,status,note,run_timestamp
J2,1,1,8.32969916879733319e-03,"ok","",2026-03-09 11:51:06
J2,2,1,8.06343805192355490e-03,"ok","",2026-03-09 11:51:14
J2,3,1,8.13629686285111121e-03,"ok","",2026-03-09 11:51:22
J2,4,1,7.87202282078780514e-03,"ok","",2026-03-09 11:51:30
J2,5,1,7.87982637180562051e-03,"ok","",2026-03-09 11:57:39
J2,6,1,7.61778205917096329e-03,"ok","",2026-03-09 11:57:48
J2,7,1,8.22136950257856824e-03,"ok","",2026-03-09 11:57:57
J2,8,1,7.95859681710808786e-03,"ok","",2026-03-09 11:58:06
J2,9,1,8.04009577553088661e-03,"ok","",2026-03-09 11:58:14
J2,10,1,7.77941923723446394e-03,"ok","",2026-03-09 11:58:23
J2,11,1,7.69718110099404385e-03,"ok","",2026-03-09 11:58:32
J2,12,1,7.43711997584739493e-03,"ok","",2026-03-09 11:58:41
J2,13,1,7.52008596393949347e-03,"ok","",2026-03-09 11:58:49
J2,14,1,7.26204265375329783e-03,"ok","",2026-03-09 11:58:58
J2,15,1,8.04237919214756403e-03,"ok","",2026-03-09 11:59:06
J2,16,1,7.78528483234453006e-03,"ok","",2026-03-09 11:59:15
J2,17,1,7.87902828433573177e-03,"ok","",2026-03-09 11:59:23
J2,18,1,7.62385387085728894e-03,"ok","",2026-03-09 11:59:32
J2,19,1,7.86430769585422240e-03,"ok","",2026-03-09 11:59:40
J2,20,1,7.60566414137997526e-03,"ok","",2026-03-09 11:59:49
J2,21,1,7.69412433803040585e-03,"ok","",2026-03-09 11:59:57
J2,22,1,7.43740561442152170e-03,"ok","",2026-03-09 12:00:06
J2,23,1,7.34835497133090598e-03,"ok","",2026-03-09 12:00:14
J2,24,1,7.09236815575664536e-03,"ok","",2026-03-09 12:00:22
J2,25,1,7.18224636843345365e-03,"ok","",2026-03-09 12:00:31
J2,26,1,6.92830439274061405e-03,"ok","",2026-03-09 12:00:39
J2,27,1,7.52928326432922290e-03,"ok","",2026-03-09 12:00:48
J2,28,1,7.27470332958191079e-03,"ok","",2026-03-09 12:00:56
J2,29,1,7.36999956032491355e-03,"ok","",2026-03-09 12:01:05
J2,30,1,7.11745606065150582e-03,"ok","",2026-03-09 12:01:13
J2,31,1,7.02148555412307473e-03,"ok","",2026-03-09 12:01:22
J2,32,1,6.76955048913185919e-03,"ok","",2026-03-09 12:01:30
J2,33,1,6.86622881580234434e-03,"ok","",2026-03-09 12:01:39
J2,34,1,6.61632961751834614e-03,"ok","",2026-03-09 12:01:47
J2,35,1,8.74804177586341325e-03,"ok","",2026-03-09 12:01:56
J2,36,1,8.43123263792122657e-03,"ok","",2026-03-09 12:02:04
J2,37,1,8.54422934310150595e-03,"ok","",2026-03-09 12:02:13
J2,38,1,8.22758530275180533e-03,"ok","",2026-03-09 12:02:21
J2,39,1,8.11563416517557812e-03,"ok","",2026-03-09 12:02:30
J2,40,1,7.80139610241192827e-03,"ok","",2026-03-09 12:02:38
J2,41,1,8.53078049690836338e-03,"ok","",2026-03-09 12:02:47
J2,42,1,8.21582124944342240e-03,"ok","",2026-03-09 12:02:55
J2,43,1,8.74182889140229236e-03,"ok","",2026-03-09 12:03:04
J2,44,1,8.42661261923183247e-03,"ok","",2026-03-09 12:03:12
J2,45,1,8.32643432687873997e-03,"ok","",2026-03-09 12:03:21
J2,46,1,8.01371242479476109e-03,"ok","",2026-03-09 12:03:29
J2,47,1,8.11294588320521370e-03,"ok","",2026-03-09 12:03:38
J2,48,1,7.80048147932532743e-03,"ok","",2026-03-09 12:03:46
J2,49,1,7.70241757532375004e-03,"ok","",2026-03-09 12:03:54
J2,50,1,7.39221446859872344e-03,"ok","",2026-03-09 12:04:03
J2,51,1,8.32175257740530583e-03,"ok","",2026-03-09 12:04:11
J2,52,1,8.00716507790966148e-03,"ok","",2026-03-09 12:04:20
J2,53,1,7.90235609124323446e-03,"ok","",2026-03-09 12:04:28
J2,54,1,7.59018152512425104e-03,"ok","",2026-03-09 12:04:36
J2,55,1,7.69628304467318003e-03,"ok","",2026-03-09 12:04:46
J2,56,1,7.38366088101471973e-03,"ok","",2026-03-09 12:04:55
J2,57,1,7.28028556930482296e-03,"ok","",2026-03-09 12:05:03
J2,58,1,6.97009064062825701e-03,"ok","",2026-03-09 12:05:12
J2,59,1,7.49037587435807950e-03,"ok","",2026-03-09 12:05:20
J2,60,1,7.18001610563234749e-03,"ok","",2026-03-09 12:05:29
J2,61,1,7.08324005509197718e-03,"ok","",2026-03-09 12:05:37
J2,62,1,6.77511977707467850e-03,"ok","",2026-03-09 12:05:45
J2,63,1,6.87087543031239534e-03,"ok","",2026-03-09 12:05:54
J2,64,1,6.56308380397874203e-03,"ok","",2026-03-09 12:06:02
J2,65,1,6.46835955893365622e-03,"ok","",2026-03-09 12:06:11
J2,66,1,6.16297208659588591e-03,"ok","",2026-03-09 12:06:19
J2,67,1,9.19210879865417496e-03,"ok","",2026-03-09 12:06:28
J2,68,1,8.85870000552202441e-03,"ok","",2026-03-09 12:06:36
J2,69,1,9.05827208035603348e-03,"ok","",2026-03-09 12:06:45
J2,70,1,8.72494638816689871e-03,"ok","",2026-03-09 12:06:53
J2,71,1,8.52670595938676001e-03,"ok","",2026-03-09 12:07:01
J2,72,1,8.19582982794386794e-03,"ok","",2026-03-09 12:07:10
J2,73,1,9.09767485221379957e-03,"ok","",2026-03-09 12:07:18
J2,74,1,8.76230370998243302e-03,"ok","",2026-03-09 12:07:27
J2,75,1,9.21870394961388229e-03,"ok","",2026-03-09 12:07:35
J2,76,1,8.88323529871826167e-03,"ok","",2026-03-09 12:07:44
J2,77,1,8.67224756510509565e-03,"ok","",2026-03-09 12:07:52
J2,78,1,8.33927025622571705e-03,"ok","",2026-03-09 12:08:01
J2,79,1,8.54881567247289809e-03,"ok","",2026-03-09 12:08:10
J2,80,1,8.21618294389381276e-03,"ok","",2026-03-09 12:08:18
J2,81,1,8.00758827780967408e-03,"ok","",2026-03-09 12:08:27
J2,82,1,7.67752169306135102e-03,"ok","",2026-03-09 12:08:35
J2,83,1,8.92686727790703571e-03,"ok","",2026-03-09 12:08:44
J2,84,1,8.59365519093913122e-03,"ok","",2026-03-09 12:08:53
J2,85,1,8.79835029208564379e-03,"ok","",2026-03-09 12:09:01
J2,86,1,8.46528298556847858e-03,"ok","",2026-03-09 12:09:10
J2,87,1,8.26175990152933082e-03,"ok","",2026-03-09 12:09:18
J2,88,1,7.93131941964730913e-03,"ok","",2026-03-09 12:09:26
J2,89,1,8.39312786705193048e-03,"ok","",2026-03-09 12:09:35
J2,90,1,8.06251856640116671e-03,"ok","",2026-03-09 12:09:43
J2,91,1,7.86670505281250598e-03,"ok","",2026-03-09 12:09:52
J2,92,1,7.53869987981659051e-03,"ok","",2026-03-09 12:10:00
J2,93,1,7.73325344124486946e-03,"ok","",2026-03-09 12:10:09
J2,94,1,7.40543103799495839e-03,"ok","",2026-03-09 12:10:17
J2,95,1,7.21198012441348624e-03,"ok","",2026-03-09 12:10:26
J2,96,1,6.88677711618979060e-03,"ok","",2026-03-09 12:10:34
J2,97,1,8.13371725361378139e-03,"ok","",2026-03-09 12:10:43
J2,98,1,7.80340423581549203e-03,"ok","",2026-03-09 12:10:51
J2,99,1,7.60242842001446206e-03,"ok","",2026-03-09 12:11:00
J2,100,1,7.27472703606224513e-03,"ok","",2026-03-09 12:11:08
J2,101,1,7.47427358868435476e-03,"ok","",2026-03-09 12:11:17
J2,102,1,7.14685219986677112e-03,"ok","",2026-03-09 12:11:25
J2,103,1,6.94817620913568135e-03,"ok","",2026-03-09 12:11:33
J2,104,1,6.62337265604051595e-03,"ok","",2026-03-09 12:11:42
J2,105,1,7.31696097620115893e-03,"ok","",2026-03-09 12:11:51
J2,106,1,6.99131858542401119e-03,"ok","",2026-03-09 12:12:00
J2,107,1,6.79982914315502285e-03,"ok","",2026-03-09 12:12:09
