id,s_lo,s_hi,s_mid,midpoint_ritz,rayleigh_lower,rayleigh_upper,target_11_5_verified,down_scaled_upper
1,0,0.005,0.0025,10.9574878489561,10.9565710705016,10.9584046274174,1,-1.92014309633711
2,0.005,0.01,0.0075,10.956755777692,10.9554740329842,10.958037522437,1,-1.92151150884076
3,0.01,0.015,0.0125,10.9552990111861,10.9536576652221,10.9569403571586,1,-1.92539089417305
4,0.015,0.02,0.0175,10.9531322268669,10.9511402671833,10.9551241865402,1,-1.93174655351634
5,0.02,0.025,0.0225,10.9502772553858,10.9479472015807,10.9526073092122,1,-1.94052103647396
6,0.025,0.03,0.0275,10.9467628609434,10.9441106386826,10.9494150832081,1,-1.95163472119357
7,0.03,0.035,0.0325,10.9426244531696,10.9396692350687,10.9455796712292,1,-1.96498661632196
8,0.035,0.04,0.0375,10.9379037345037,10.9346677497982,10.9411397192183,1,-1.98045537292129
9,0.04,0.045,0.0425,10.9326482878293,10.9291566034529,10.9361399722483,1,-1.99790049372636
10,0.045,0.05,0.0475,10.9269111098065,10.9231913853471,10.9306308342212,1,-2.01716371930615
11,0.05,0.055,0.0525,10.920750095926,10.9168323165867,10.9246678752666,1,-2.03807057887887
12,0.055,0.06,0.0575,10.9142274837546,10.9101436730415,10.9183112944328,1,-2.06043208188627
13,0.06,0.065,0.0625,10.9074092611512,10.9031931785907,10.9116253437111,1,-2.08404653130722
14,0.065,0.07,0.0675,10.90036454643,10.8960513720851,10.9046777207817,1,-2.10870143545869
15,0.07,0.075,0.0725,10.8931649474979,10.8887909583891,10.8975389366096,1,-2.13417549898892
16,0.075,0.08,0.0775,10.885883906952,10.881486147209,10.8902816667358,1,-2.16024066522222
17,0.08,0.085,0.0825,10.878596039962,10.8742119893354,10.8829800905905,1,-2.18666419623558
18,0.085,0.09,0.0875,10.8713764715178,10.8670437149553,10.8757092280839,1,-2.21321076153329
19,0.09,0.095,0.0925,10.8643001793067,10.8600560809744,10.8685442776295,1,-2.23964452223857
20,0.095,0.1,0.0975,10.8574413480987,10.8533227315016,10.8615599646932,1,-2.26573118218303
21,0.1,0.105,0.1025,10.8508727410944,10.8469155799398,10.8548299023163,1,-2.29124000133111
22,0.105,0.11,0.1075,10.8446650932315,10.8409042134887,10.8484259729952,1,-2.31594574200819
23,0.11,0.115,0.1125,10.8388865309708,10.8353553277059,10.842417734237,1,-2.33963054063166
