bc,J,cluster_complete,mass_max_abs_error,mass_diag_max_abs_error,mass_offdiag_max_abs,stiffness_max_abs_error,stiffness_relative_max_error,stiffness_diag_relative_max_error,stiffness_offdiag_max_abs,rigorous_flag
D,30,True,3.241851231905457e-14,3.241851231905457e-14,1.9754032032458e-15,3.524291969370097e-11,3.2927960087498716e-14,4.103602767893657e-14,1.9870327605531202e-11,exploratory_double
D,49,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,5.2523319027386606e-11,3.21878519315258e-14,4.103602767893657e-14,3.6050604283539504e-11,exploratory_double
D,51,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,5.2523319027386606e-11,3.086051783125669e-14,4.103602767893657e-14,3.6050604283539504e-11,exploratory_double
D,99,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,1.3324097380973399e-10,4.149631099198763e-14,4.98258744889903e-14,6.922448396767387e-11,exploratory_double
D,101,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,1.3324097380973399e-10,4.0178967785892783e-14,4.98258744889903e-14,6.922448396767387e-11,exploratory_double
D,199,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,2.6830093702301383e-10,4.212484790008278e-14,4.98258744889903e-14,1.489534341927958e-10,exploratory_double
D,203,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,2.6830093702301383e-10,4.2009120295961676e-14,4.98258744889903e-14,1.489534341927958e-10,exploratory_double
N,29,True,4.9053327502943013e-14,3.019806626980426e-14,4.9053327502943013e-14,3.717559593496844e-11,5.726364602138944e-14,5.90085736360648e-14,1.5589307622576598e-11,exploratory_double
N,31,True,4.9053327502943013e-14,3.019806626980426e-14,4.9053327502943013e-14,3.717559593496844e-11,5.4327048789523317e-14,5.90085736360648e-14,1.5589307622576598e-11,exploratory_double
N,50,True,4.9053327502943013e-14,3.019806626980426e-14,4.9053327502943013e-14,5.832134775118902e-11,4.9610720029759133e-14,5.90085736360648e-14,2.3653967673453735e-11,exploratory_double
N,98,True,4.9053327502943013e-14,3.552713678800501e-14,4.9053327502943013e-14,1.064108801074326e-10,4.211592314417174e-14,5.90085736360648e-14,5.5148774436020176e-11,exploratory_double
N,101,True,4.9053327502943013e-14,3.552713678800501e-14,4.9053327502943013e-14,1.2505552149377763e-10,4.848510252076286e-14,5.90085736360648e-14,6.313288029532451e-11,exploratory_double
N,200,True,4.9053327502943013e-14,4.196643033083092e-14,4.9053327502943013e-14,2.2737367544323206e-10,4.305231090638563e-14,5.90085736360648e-14,1.2940968690367443e-10,exploratory_double
