model,J,M,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,30,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,19.331652179390993,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.833549515124755,-12.834697907128604,-4.472364398975747,-4.473512790979596,False,True,exploratory_double
norm_bound,30,,dirichlet_parseval_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-123.30284644940298,-89.57848314101717,36.393407478299366,7.201517969142668e-13,-75.02124572679011,59.98661458062692,62.98594530965827,59.98661458062692,3013.4636418670157,3589.7268897156523,-12.833549515124755,-12.834697907128604,-66.16359678395747,-66.16474517596133,False,True,exploratory_double
norm_bound,30,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,4.804023119340273,24.247703506710977,36.393407478299366,7.201517969142668e-13,-75.02124572679011,5.783668557899233,6.072851985794195,59.98661458062692,1691.4067809328628,2529.6125780420757,-12.833549515124755,-12.834697907128604,-10.755748495826206,-10.756896887830054,False,True,exploratory_double
norm_bound,30,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,4.804023119340273,24.247703506710977,36.393407478299366,7.201517969142668e-13,-75.02124572679011,5.783668557899233,6.072851985794195,59.98661458062692,1691.4067809328628,2529.6125780420757,-12.833549515124755,-12.834697907128604,-10.755748495826206,-10.756896887830054,False,True,exploratory_double
norm_bound,30,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,7.7586945671699485,26.807919020987768,36.393407478299366,7.201517969142668e-13,-75.02124572679011,4.564518313005522,4.792744228655798,59.98661458062692,1654.9265882753712,2499.958571064107,-12.833549515124755,-12.834697907128604,-9.477815564721597,-9.478963956725446,False,True,exploratory_double
norm_bound,30,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,11.00411473585211,29.61418482239074,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3.2282012647183933,3.389611327954313,59.98661458062692,1614.3153583568112,2466.9165029705186,-12.833549515124755,-12.834697907128604,-8.074130118789373,-8.075278510793222,False,True,exploratory_double
norm_bound,30,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,11.00411473585211,29.61418482239074,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3.2282012647183933,3.389611327954313,59.98661458062692,1614.3153583568112,2466.9165029705186,-12.833549515124755,-12.834697907128604,-8.074130118789373,-8.075278510793222,False,True,exploratory_double
norm_bound,30,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,13.561078458523701,31.820571497590393,36.393407478299366,7.201517969142668e-13,-75.02124572679011,2.1775409431947494,2.286417990354487,59.98661458062692,1581.897534332141,2440.5176957452795,-12.833549515124755,-12.834697907128604,-6.968210830456297,-6.969359222460145,False,True,exploratory_double
symmetry_x_even,30,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,34.46392294481864,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.833549515124755,-12.834697907128604,2.072534915544006,2.0713865235401574,True,True,exploratory_double
signed_xxy,30,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.833549515124755,-12.834697907128604,2.9070614843790032,2.9059130923751546,True,True,exploratory_double
symmetry_x_even,30,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,21.7180909286689,24.247703506710977,36.393407478299366,7.201517969142668e-13,-75.02124572679011,5.783668557899233,6.072851985794195,59.98661458062692,1691.4067809328628,2529.6125780420757,-12.833549515124755,-12.834697907128604,-3.4401993276252707,-3.4413477196291193,False,True,exploratory_double
signed_xxy,30,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.247703506710977,24.247703506710977,36.393407478299366,7.201517969142668e-13,-75.02124572679011,5.783668557899233,6.072851985794195,59.98661458062692,1691.4067809328628,2529.6125780420757,-12.833549515124755,-12.834697907128604,-2.34610975675575,-2.3472581487595985,False,True,exploratory_double
symmetry_x_even,30,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,21.7180909286689,24.247703506710977,36.393407478299366,7.201517969142668e-13,-75.02124572679011,5.783668557899233,6.072851985794195,59.98661458062692,1691.4067809328628,2529.6125780420757,-12.833549515124755,-12.834697907128604,-3.4401993276252707,-3.4413477196291193,False,True,exploratory_double
signed_xxy,30,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.247703506710977,24.247703506710977,36.393407478299366,7.201517969142668e-13,-75.02124572679011,5.783668557899233,6.072851985794195,59.98661458062692,1691.4067809328628,2529.6125780420757,-12.833549515124755,-12.834697907128604,-2.34610975675575,-2.3472581487595985,False,True,exploratory_double
symmetry_x_even,30,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.307960449923662,26.807919020987768,36.393407478299366,7.201517969142668e-13,-75.02124572679011,4.564518313005522,4.792744228655798,59.98661458062692,1654.9265882753712,2499.958571064107,-12.833549515124755,-12.834697907128604,-2.320047863439065,-2.3211962554429135,False,True,exploratory_double
signed_xxy,30,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,26.807919020987768,26.807919020987768,36.393407478299366,7.201517969142668e-13,-75.02124572679011,4.564518313005522,4.792744228655798,59.98661458062692,1654.9265882753712,2499.958571064107,-12.833549515124755,-12.834697907128604,-1.2387840272495172,-1.2399324192533658,False,True,exploratory_double
symmetry_x_even,30,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,27.14726831942022,29.61418482239074,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3.2282012647183933,3.389611327954313,59.98661458062692,1614.3153583568112,2466.9165029705186,-12.833549515124755,-12.834697907128604,-1.0920111452992671,-1.0931595373031158,False,True,exploratory_double
signed_xxy,30,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.61418482239074,29.61418482239074,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3.2282012647183933,3.389611327954313,59.98661458062692,1614.3153583568112,2466.9165029705186,-12.833549515124755,-12.834697907128604,-0.025038423256983577,-0.02618681526083222,False,True,exploratory_double
symmetry_x_even,30,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,27.14726831942022,29.61418482239074,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3.2282012647183933,3.389611327954313,59.98661458062692,1614.3153583568112,2466.9165029705186,-12.833549515124755,-12.834697907128604,-1.0920111452992671,-1.0931595373031158,False,True,exploratory_double
signed_xxy,30,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.61418482239074,29.61418482239074,36.393407478299366,7.201517969142668e-13,-75.02124572679011,3.2282012647183933,3.389611327954313,59.98661458062692,1614.3153583568112,2466.9165029705186,-12.833549515124755,-12.834697907128604,-0.025038423256983577,-0.02618681526083222,False,True,exploratory_double
symmetry_x_even,30,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.380053801845115,31.820571497590393,36.393407478299366,7.201517969142668e-13,-75.02124572679011,2.1775409431947494,2.286417990354487,59.98661458062692,1581.897534332141,2440.5176957452795,-12.833549515124755,-12.834697907128604,-0.12630306354995469,-0.12745145555380333,False,True,exploratory_double
signed_xxy,30,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,31.820571497590393,31.820571497590393,36.393407478299366,7.201517969142668e-13,-75.02124572679011,2.1775409431947494,2.286417990354487,59.98661458062692,1581.897534332141,2440.5176957452795,-12.833549515124755,-12.834697907128604,0.9292518390526094,0.9281034470487608,True,True,exploratory_double
norm_bound,49,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,19.25294860290496,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.833549515124755,-12.834697907128604,-4.506404695490302,-4.50755308749415,False,True,exploratory_double
norm_bound,49,,dirichlet_parseval_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-120.56582993541397,-87.40927340732887,36.325965036689574,7.73517509996302e-13,-75.10260472891373,59.95418769967904,61.86761922200922,59.95418769967904,2962.5652738924055,3530.903789161044,-12.833549515124755,-12.834697907128604,-64.97980237636847,-64.98095076837231,False,True,exploratory_double
norm_bound,49,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,5.098591969260446,24.456381150215506,36.325965036689574,7.73517509996302e-13,-75.10260472891373,5.751241676951352,5.934791943237034,59.95418769967904,1684.8361011404847,2509.4281695502127,-12.833549515124755,-12.834697907128604,-10.628343726653949,-10.629492118657797,False,True,exploratory_double
norm_bound,49,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,5.098591969260446,24.456381150215506,36.325965036689574,7.73517509996302e-13,-75.10260472891373,5.751241676951352,5.934791943237034,59.95418769967904,1684.8361011404847,2509.4281695502127,-12.833549515124755,-12.834697907128604,-10.628343726653949,-10.629492118657797,False,True,exploratory_double
norm_bound,49,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,7.994775631810354,26.972499740740826,36.325965036689574,7.73517509996302e-13,-75.10260472891373,4.532091432057641,4.676732647974374,59.95418769967904,1649.6780814903739,2480.943294026731,-12.833549515124755,-12.834697907128604,-9.375707505588384,-9.376855897592232,False,True,exploratory_double
norm_bound,49,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,11.175678030515874,29.730430670184475,36.325965036689574,7.73517509996302e-13,-75.10260472891373,3.1957743837705124,3.29776718325255,59.95418769967904,1610.5535978899786,2449.2166607688137,-12.833549515124755,-12.834697907128604,-7.999926814668818,-8.001075206672667,False,True,exploratory_double
norm_bound,49,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,11.175678030515874,29.730430670184475,36.325965036689574,7.73517509996302e-13,-75.10260472891373,3.1957743837705124,3.29776718325255,59.95418769967904,1610.5535978899786,2449.2166607688137,-12.833549515124755,-12.834697907128604,-7.999926814668818,-8.001075206672667,False,True,exploratory_double
norm_bound,49,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,13.681587401227707,31.898814738009868,36.325965036689574,7.73517509996302e-13,-75.10260472891373,2.1451140622468685,2.2135751493398534,59.95418769967904,1579.3348052979636,2423.8792838025224,-12.833549515124755,-12.834697907128604,-6.916089182045212,-6.917237574049061,False,True,exploratory_double
symmetry_x_even,49,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,34.39538031456147,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.833549515124755,-12.834697907128604,2.042889357336678,2.0417409653328296,True,True,exploratory_double
signed_xxy,49,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,36.325965036689574,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.833549515124755,-12.834697907128604,2.8778917717361434,2.8767433797322948,True,True,exploratory_double
symmetry_x_even,49,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,21.946952980665294,24.456381150215506,36.325965036689574,7.73517509996302e-13,-75.10260472891373,5.751241676951352,5.934791943237034,59.95418769967904,1684.8361011404847,2509.4281695502127,-12.833549515124755,-12.834697907128604,-3.341213583155712,-3.3423619751595606,False,True,exploratory_double
signed_xxy,49,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.456381150215506,24.456381150215506,36.325965036689574,7.73517509996302e-13,-75.10260472891373,5.751241676951352,5.934791943237034,59.95418769967904,1684.8361011404847,2509.4281695502127,-12.833549515124755,-12.834697907128604,-2.2558540253391044,-2.257002417342953,False,True,exploratory_double
symmetry_x_even,49,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,21.946952980665294,24.456381150215506,36.325965036689574,7.73517509996302e-13,-75.10260472891373,5.751241676951352,5.934791943237034,59.95418769967904,1684.8361011404847,2509.4281695502127,-12.833549515124755,-12.834697907128604,-3.341213583155712,-3.3423619751595606,False,True,exploratory_double
signed_xxy,49,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.456381150215506,24.456381150215506,36.325965036689574,7.73517509996302e-13,-75.10260472891373,5.751241676951352,5.934791943237034,59.95418769967904,1684.8361011404847,2509.4281695502127,-12.833549515124755,-12.834697907128604,-2.2558540253391044,-2.257002417342953,False,True,exploratory_double
symmetry_x_even,49,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.491556446714096,26.972499740740826,36.325965036689574,7.73517509996302e-13,-75.10260472891373,4.532091432057641,4.676732647974374,59.95418769967904,1649.6780814903739,2480.943294026731,-12.833549515124755,-12.834697907128604,-2.24064026281064,-2.2417886548144885,False,True,exploratory_double
signed_xxy,49,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,26.972499740740826,26.972499740740826,36.325965036689574,7.73517509996302e-13,-75.10260472891373,4.532091432057641,4.676732647974374,59.95418769967904,1649.6780814903739,2480.943294026731,-12.833549515124755,-12.834697907128604,-1.1676007754697562,-1.1687491674736048,False,True,exploratory_double
symmetry_x_even,49,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,27.281214009415663,29.730430670184475,36.325965036689574,7.73517509996302e-13,-75.10260472891373,3.1957743837705124,3.29776718325255,59.95418769967904,1610.5535978899786,2449.2166607688137,-12.833549515124755,-12.834697907128604,-1.0340779330125223,-1.035226325016371,False,True,exploratory_double
signed_xxy,49,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.730430670184475,29.730430670184475,36.325965036689574,7.73517509996302e-13,-75.10260472891373,3.1957743837705124,3.29776718325255,59.95418769967904,1610.5535978899786,2449.2166607688137,-12.833549515124755,-12.834697907128604,0.02523938245603574,0.0240909904521871,True,True,exploratory_double
symmetry_x_even,49,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,27.281214009415663,29.730430670184475,36.325965036689574,7.73517509996302e-13,-75.10260472891373,3.1957743837705124,3.29776718325255,59.95418769967904,1610.5535978899786,2449.2166607688137,-12.833549515124755,-12.834697907128604,-1.0340779330125223,-1.035226325016371,False,True,exploratory_double
signed_xxy,49,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.730430670184475,29.730430670184475,36.325965036689574,7.73517509996302e-13,-75.10260472891373,3.1957743837705124,3.29776718325255,59.95418769967904,1610.5535978899786,2449.2166607688137,-12.833549515124755,-12.834697907128604,0.02523938245603574,0.0240909904521871,True,True,exploratory_double
symmetry_x_even,49,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.474935454207348,31.898814738009868,36.325965036689574,7.73517509996302e-13,-75.10260472891373,2.1451140622468685,2.2135751493398534,59.95418769967904,1579.3348052979636,2423.8792838025224,-12.833549515124755,-12.834697907128604,-0.08526554372676642,-0.08641393573061507,False,True,exploratory_double
