bc,J,cluster_complete,mass_max_abs_error,mass_diag_max_abs_error,mass_offdiag_max_abs,stiffness_max_abs_error,stiffness_relative_max_error,stiffness_diag_relative_max_error,stiffness_offdiag_max_abs,rigorous_flag
D,30,True,3.241851231905457e-14,3.241851231905457e-14,1.9754032032458e-15,3.524291969370097e-11,3.2927960087498716e-14,4.103602767893657e-14,1.9870327605531202e-11,exploratory_double
D,49,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,5.2523319027386606e-11,3.21878519315258e-14,4.103602767893657e-14,3.6050604283539504e-11,exploratory_double
D,51,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,5.2523319027386606e-11,3.086051783125669e-14,4.103602767893657e-14,3.6050604283539504e-11,exploratory_double
D,99,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,1.3324097380973399e-10,4.149631099198763e-14,4.98258744889903e-14,6.922448396767387e-11,exploratory_double
D,101,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,1.3324097380973399e-10,4.0178967785892783e-14,4.98258744889903e-14,6.922448396767387e-11,exploratory_double
D,199,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,2.6830093702301383e-10,4.212484790008278e-14,4.98258744889903e-14,1.489534341927958e-10,exploratory_double
D,203,True,3.441691376337985e-14,3.441691376337985e-14,1.9754032032458e-15,2.6830093702301383e-10,4.2009120295961676e-14,4.98258744889903e-14,1.489534341927958e-10,exploratory_double
N,5,True,3.1381397805420726e-14,1.84297022087776e-14,3.1381397805420726e-14,3.069544618483633e-12,4.37357663420245e-14,4.37357663420245e-14,7.958078640513122e-13,exploratory_double
N,6,False,3.1381397805420726e-14,1.84297022087776e-14,3.1381397805420726e-14,3.069544618483633e-12,2.4991866481156856e-14,4.37357663420245e-14,8.961720254774264e-13,exploratory_double
N,7,True,3.7265919535721844e-14,1.84297022087776e-14,3.7265919535721844e-14,4.561684363579843e-12,3.714069046505255e-14,4.37357663420245e-14,1.3651302310790925e-12,exploratory_double
N,8,False,3.7265919535721844e-14,1.84297022087776e-14,3.7265919535721844e-14,6.30961949354969e-12,3.99561322137014e-14,4.37357663420245e-14,1.3651302310790925e-12,exploratory_double
N,9,True,4.627664916671273e-14,1.84297022087776e-14,4.627664916671273e-14,6.30961949354969e-12,3.99561322137014e-14,4.37357663420245e-14,1.679546412894735e-12,exploratory_double
N,10,True,4.627664916671273e-14,1.84297022087776e-14,4.627664916671273e-14,8.100187187665142e-12,3.8471275949003036e-14,4.37357663420245e-14,3.5157672299926874e-12,exploratory_double
