model,J,M,M_cluster_complete,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,30,,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,19.331652179390993,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.833549515124755,-12.834697907128604,-4.472364398975747,-4.473512790979596,False,True,exploratory_double
norm_bound,30,5,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-42.35608369266848,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.833549515124755,-12.834697907128604,-31.153093714613767,-31.154242106617616,False,True,exploratory_double
norm_bound,30,6,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-42.35608369266848,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.833549515124755,-12.834697907128604,-31.153093714613767,-31.154242106617616,False,True,exploratory_double
norm_bound,30,7,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.792556469473062,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-17.93397997595312,-17.93512836795697,False,True,exploratory_double
norm_bound,30,8,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.792556469473062,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-17.93397997595312,-17.93512836795697,False,True,exploratory_double
norm_bound,30,9,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.792556469473062,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-17.93397997595312,-17.93512836795697,False,True,exploratory_double
norm_bound,30,10,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.792556469473062,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-17.93397997595312,-17.93512836795697,False,True,exploratory_double
symmetry_x_even,30,,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,34.46392294481864,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.833549515124755,-12.834697907128604,2.072534915544006,2.0713865235401574,True,True,exploratory_double
signed_xxy,30,,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,36.393407478299366,36.393407478299366,36.393407478299366,7.201517969142668e-13,-75.02124572679011,0.0,0.0,59.98661458062692,1513.227076542765,1929.4845334807262,-12.833549515124755,-12.834697907128604,2.9070614843790032,2.9059130923751546,True,True,exploratory_double
symmetry_x_even,30,5,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-20.103364196017132,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.833549515124755,-12.834697907128604,-21.52850988066743,-21.529658272671277,False,True,exploratory_double
