J,M,J_cluster_complete,M_cluster_complete,lambda_next,lambda1,alpha,G_norm_sq,D_J,N_M,old_dirichlet_tail_energy,neumann_corrected_tail_energy,old_tail_bound,neumann_corrected_tail_bound,tail_energy_ratio,lambda_xx_finite,lambda_xx_old_tail_lower,lambda_xx_neumann_tail_lower,lambda_xx_lower_improvement,rigorous_part,rigorous_flag
30,5,True,True,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,34.49333401720883,59.98661458062692,25.49328056341809,62.98594530965827,26.767944591588996,0.42498281894460027,36.393407478299366,-89.57848314101717,-17.142481704878627,72.43600143613855,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,6,True,False,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,34.49333401720883,59.98661458062692,25.49328056341809,62.98594530965827,26.767944591588996,0.42498281894460027,36.393407478299366,-89.57848314101717,-17.142481704878627,72.43600143613855,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,7,True,True,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,47.31522797137836,59.98661458062692,12.671386609248557,62.98594530965827,13.304955939710986,0.21123690172942125,36.393407478299366,-89.57848314101717,9.783495598877394,99.36197873989457,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,8,True,False,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,47.31522797137836,59.98661458062692,12.671386609248557,62.98594530965827,13.304955939710986,0.21123690172942125,36.393407478299366,-89.57848314101717,9.783495598877394,99.36197873989457,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,9,True,True,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,47.31522797137836,59.98661458062692,12.671386609248557,62.98594530965827,13.304955939710986,0.21123690172942125,36.393407478299366,-89.57848314101717,9.783495598877394,99.36197873989457,Neumann-corrected tail formula; double precision inputs,exploratory_double
30,10,True,True,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,47.31522797137836,59.98661458062692,12.671386609248557,62.98594530965827,13.304955939710986,0.21123690172942125,36.393407478299366,-89.57848314101717,9.783495598877394,99.36197873989457,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,5,True,True,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,34.49333401720883,59.95418769967904,25.46085368247021,61.86761922200922,26.273434119144788,0.42467181458629805,36.325965036689574,-87.40927340732887,-16.220903201600002,71.18837020572886,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,6,True,False,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,34.49333401720883,59.95418769967904,25.46085368247021,61.86761922200922,26.273434119144788,0.42467181458629805,36.325965036689574,-87.40927340732887,-16.220903201600002,71.18837020572886,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,7,True,True,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,47.31522797137836,59.95418769967904,12.638959728300676,61.86761922200922,13.042330783459208,0.21081029054403047,36.325965036689574,-87.40927340732887,10.241303469771157,97.65057687710002,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,8,True,False,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,47.31522797137836,59.95418769967904,12.638959728300676,61.86761922200922,13.042330783459208,0.21081029054403047,36.325965036689574,-87.40927340732887,10.241303469771157,97.65057687710002,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,9,True,True,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,47.31522797137836,59.95418769967904,12.638959728300676,61.86761922200922,13.042330783459208,0.21081029054403047,36.325965036689574,-87.40927340732887,10.241303469771157,97.65057687710002,Neumann-corrected tail formula; double precision inputs,exploratory_double
49,10,True,True,1701.9584478322984,52.637890139143245,1.0319148936170213,70.18385351885578,10.229665819176745,47.31522797137836,59.95418769967904,12.638959728300676,61.86761922200922,13.042330783459208,0.21081029054403047,36.325965036689574,-87.40927340732887,10.241303469771157,97.65057687710002,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,5,True,True,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,34.49333401720883,59.95335056724801,25.460016550039178,61.75195108426545,26.223817046540354,0.42466378124240756,36.324237337842554,-87.17966483068835,-16.123396755238154,71.05626807545019,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,6,True,False,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,34.49333401720883,59.95335056724801,25.460016550039178,61.75195108426545,26.223817046540354,0.42466378124240756,36.324237337842554,-87.17966483068835,-16.123396755238154,71.05626807545019,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,7,True,True,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,47.31522797137836,59.95335056724801,12.638122595869646,61.75195108426545,13.017266273745737,0.21079927103813514,36.324237337842554,-87.17966483068835,10.289704790351081,97.46936962103943,Neumann-corrected tail formula; double precision inputs,exploratory_double
