conjecture,cell_id,verified,J_lower,status,note,run_timestamp
J1,1,1,7.62044219178825700e-03,"ok","",2026-03-06 00:16:31
J1,2,1,7.35884926878327406e-03,"ok","",2026-03-06 00:16:35
J1,3,1,7.43293158408775412e-03,"ok","",2026-03-06 00:16:39
J1,4,1,7.17323485931231631e-03,"ok","",2026-03-06 00:16:43
J1,5,1,7.25062326151793002e-03,"ok","",2026-03-06 00:16:47
J1,6,1,6.99286667469145585e-03,"ok","",2026-03-06 00:16:51
J1,7,1,7.58853547224447312e-03,"ok","",2026-03-06 00:16:56
J1,8,1,7.33038399366314764e-03,"ok","",2026-03-06 00:17:00
J1,9,1,7.41345874373777747e-03,"ok","",2026-03-06 00:17:05
J1,10,1,7.15721626579934878e-03,"ok","",2026-03-06 00:17:09
J1,11,1,7.07349801366419229e-03,"ok","",2026-03-06 00:17:13
J1,12,1,6.81788632430624376e-03,"ok","",2026-03-06 00:17:18
J1,13,1,6.90218679576837247e-03,"ok","",2026-03-06 00:17:23
J1,14,1,6.64863722217923226e-03,"ok","",2026-03-06 00:17:28
J1,15,1,7.42362257045670049e-03,"ok","",2026-03-06 00:17:34
J1,16,1,7.17083838970289378e-03,"ok","",2026-03-06 00:17:39
J1,17,1,7.26572232225208837e-03,"ok","",2026-03-06 00:17:44
J1,18,1,7.01478442217151610e-03,"ok","",2026-03-06 00:17:48
J1,19,1,7.24305130355773486e-03,"ok","",2026-03-06 00:17:53
J1,20,1,6.98880150632774644e-03,"ok","",2026-03-06 00:17:57
J1,21,1,7.07837248022435972e-03,"ok","",2026-03-06 00:18:02
J1,22,1,6.82619593635891420e-03,"ok","",2026-03-06 00:18:07
J1,23,1,6.73578614917680341e-03,"ok","",2026-03-06 00:18:12
J1,24,1,6.48427680305907473e-03,"ok","",2026-03-06 00:18:16
J1,25,1,6.57512757518752267e-03,"ok","",2026-03-06 00:18:22
J1,26,1,6.32561969849199102e-03,"ok","",2026-03-06 00:18:27
J1,27,1,6.91949331915964195e-03,"ok","",2026-03-06 00:18:31
J1,28,1,6.66900190753239031e-03,"ok","",2026-03-06 00:18:36
J1,29,1,6.76530057678093045e-03,"ok","",2026-03-06 00:18:40
J1,30,1,6.51706414497610354e-03,"ok","",2026-03-06 00:18:44
J1,31,1,6.42021285830374211e-03,"ok","",2026-03-06 00:18:49
J1,32,1,6.17258341665127830e-03,"ok","",2026-03-06 00:18:55
J1,33,1,6.27009687993762555e-03,"ok","",2026-03-06 00:18:59
J1,34,1,6.02442171789974168e-03,"ok","",2026-03-06 00:19:04
J1,35,1,7.89689354897582519e-03,"ok","",2026-03-06 00:19:10
J1,36,1,7.58522517574888866e-03,"ok","",2026-03-06 00:19:15
J1,37,1,7.69422614132508898e-03,"ok","",2026-03-06 00:19:20
J1,38,1,7.38273502655673042e-03,"ok","",2026-03-06 00:19:24
J1,39,1,7.27485501127311807e-03,"ok","",2026-03-06 00:19:28
J1,40,1,6.96573684105139535e-03,"ok","",2026-03-06 00:19:33
J1,41,1,7.68720300300529403e-03,"ok","",2026-03-06 00:19:37
J1,42,1,7.37950338174542254e-03,"ok","",2026-03-06 00:19:42
J1,43,1,7.89867976592262267e-03,"ok","",2026-03-06 00:19:46
J1,44,1,8.17218062442215399e-03,"ok","",2026-03-06 00:19:50
J1,45,1,8.07288620677049096e-03,"ok","",2026-03-06 00:19:55
J1,46,1,7.76350102700362755e-03,"ok","",2026-03-06 00:19:59
J1,47,1,7.86203224816084401e-03,"ok","",2026-03-06 00:20:03
J1,48,1,7.55313013459968375e-03,"ok","",2026-03-06 00:20:08
J1,49,1,7.45561990011367471e-03,"ok","",2026-03-06 00:20:12
J1,50,1,7.14902881734680307e-03,"ok","",2026-03-06 00:20:16
J1,51,1,8.06915708986011282e-03,"ok","",2026-03-06 00:20:21
J1,52,1,7.75794852688349579e-03,"ok","",2026-03-06 00:20:25
J1,53,1,7.65412320894043319e-03,"ok","",2026-03-06 00:20:29
J1,54,1,7.34539005705414639e-03,"ok","",2026-03-06 00:20:34
J1,55,1,7.44830901934179224e-03,"ok","",2026-03-06 00:20:38
J1,56,1,7.13985521061033524e-03,"ok","",2026-03-06 00:20:42
J1,57,1,7.03782021418675186e-03,"ok","",2026-03-06 00:20:47
J1,58,1,6.73168371373478181e-03,"ok","",2026-03-06 00:20:51
J1,59,1,7.24529724480049709e-03,"ok","",2026-03-06 00:20:55
J1,60,1,6.93875809356470086e-03,"ok","",2026-03-06 00:20:59
J1,61,1,6.84372293055446335e-03,"ok","",2026-03-06 00:21:03
J1,62,1,6.53936000482779889e-03,"ok","",2026-03-06 00:21:07
J1,63,1,6.63375043330560744e-03,"ok","",2026-03-06 00:21:11
J1,64,1,6.32990704714764263e-03,"ok","",2026-03-06 00:21:15
J1,65,1,6.23664018930369935e-03,"ok","",2026-03-06 00:21:20
J1,66,1,5.93498098571032529e-03,"ok","",2026-03-06 00:21:24
J1,67,1,8.92014426947618234e-03,"ok","",2026-03-06 00:21:28
J1,68,1,8.59139937325537062e-03,"ok","",2026-03-06 00:21:32
J1,69,1,8.78820576772199047e-03,"ok","",2026-03-06 00:21:36
J1,70,1,8.45956252988067093e-03,"ok","",2026-03-06 00:21:40
J1,71,1,8.26411330729115435e-03,"ok","",2026-03-06 00:21:44
J1,72,1,7.93782322038083521e-03,"ok","",2026-03-06 00:21:49
J1,73,1,8.82634350548450187e-03,"ok","",2026-03-06 00:21:53
J1,74,1,8.49571049404396206e-03,"ok","",2026-03-06 00:21:57
J1,75,1,8.94586521129703272e-03,"ok","",2026-03-06 00:22:01
J1,76,1,8.61500581975249702e-03,"ok","",2026-03-06 00:22:05
J1,77,1,8.40706484191144910e-03,"ok","",2026-03-06 00:22:09
J1,78,1,8.07864806809099890e-03,"ok","",2026-03-06 00:22:14
J1,79,1,8.28533485890758926e-03,"ok","",2026-03-06 00:22:18
J1,80,1,7.95726003010344130e-03,"ok","",2026-03-06 00:22:22
J1,81,1,7.75151653044403588e-03,"ok","",2026-03-06 00:22:26
J1,82,1,7.42594289412856768e-03,"ok","",2026-03-06 00:22:30
J1,83,1,8.65842756457624319e-03,"ok","",2026-03-06 00:22:34
J1,84,1,8.32980337728983500e-03,"ok","",2026-03-06 00:22:38
J1,85,1,8.53143535244704765e-03,"ok","",2026-03-06 00:22:42
J1,86,1,8.20299344749386706e-03,"ok","",2026-03-06 00:22:47
J1,87,1,8.00244254636162112e-03,"ok","",2026-03-06 00:22:51
J1,88,1,7.67656633895263952e-03,"ok","",2026-03-06 00:22:55
J1,89,1,8.13208637126727752e-03,"ok","",2026-03-06 00:22:59
J1,90,1,7.80603379043931512e-03,"ok","",2026-03-06 00:23:03
J1,91,1,7.61301038887474136e-03,"ok","",2026-03-06 00:23:07
J1,92,1,7.25107455383167121e-03,"ok","",2026-03-06 00:23:12
J1,93,1,7.44297812679306504e-03,"ok","",2026-03-06 00:23:16
J1,94,1,7.40540187099014702e-03,"ok","",2026-03-06 00:23:20
J1,95,1,7.21409857964872004e-03,"ok","",2026-03-06 00:23:29
J1,96,1,6.89296431829156120e-03,"ok","",2026-03-06 00:23:35
J1,97,1,8.12443395716577755e-03,"ok","",2026-03-06 00:23:40
J1,98,1,7.79838025561474524e-03,"ok","",2026-03-06 00:23:45
J1,99,1,7.59977676568013294e-03,"ok","",2026-03-06 00:23:50
J1,100,1,7.27591836657381919e-03,"ok","",2026-03-06 00:23:55
J1,101,1,7.47330563130255144e-03,"ok","",2026-03-06 00:24:00
J1,102,1,7.14972428524163207e-03,"ok","",2026-03-06 00:24:05
J1,103,1,6.95339495042190948e-03,"ok","",2026-03-06 00:24:10
J1,104,1,6.63247472302863628e-03,"ok","",2026-03-06 00:24:15
J1,105,1,7.08281877331984334e-03,"ok","",2026-03-06 00:24:19
J1,106,1,6.76177674122691031e-03,"ok","",2026-03-06 00:24:23
J1,107,1,6.57308228691633190e-03,"ok","",2026-03-06 00:24:28
J1,108,1,6.25435785060979300e-03,"ok","",2026-03-06 00:24:32
J1,109,1,6.44158667388161633e-03,"ok","",2026-03-06 00:24:37
J1,110,1,6.12317339594170563e-03,"ok","",2026-03-06 00:24:42
J1,111,1,5.93656108190110388e-03,"ok","",2026-03-06 00:24:46
J1,112,1,5.62076592666116426e-03,"ok","",2026-03-06 00:24:50
J1,113,1,8.84507756171615256e-03,"ok","",2026-03-06 00:24:56
J1,114,1,8.51407402836024119e-03,"ok","",2026-03-06 00:25:01
J1,115,1,9.18320302165476222e-03,"ok","",2026-03-06 00:25:06
J1,116,1,8.84992855072219698e-03,"ok","",2026-03-06 00:25:10
J1,117,1,8.62438207753335462e-03,"ok","",2026-03-06 00:25:15
J1,118,1,8.29361839480746710e-03,"ok","",2026-03-06 00:25:19
J1,119,1,8.73301131949411059e-03,"ok","",2026-03-06 00:25:24
J1,120,1,8.40221354191683645e-03,"ok","",2026-03-06 00:25:28
J1,121,1,8.18435858546706641e-03,"ok","",2026-03-06 00:25:32
J1,122,1,7.85602468549129185e-03,"ok","",2026-03-06 00:25:37
J1,123,1,8.07271953708976753e-03,"ok","",2026-03-06 00:25:42
J1,124,1,7.74452600201236408e-03,"ok","",2026-03-06 00:25:46
J1,125,1,7.52904601874604396e-03,"ok","",2026-03-06 00:25:51
J1,126,1,7.20355208704326345e-03,"ok","",2026-03-06 00:25:55
J1,127,1,9.07891761862700264e-03,"ok","",2026-03-06 00:25:59
J1,128,1,8.74579324472257725e-03,"ok","",2026-03-06 00:26:04
J1,129,1,8.97781776675365962e-03,"ok","",2026-03-06 00:26:08
J1,130,1,8.64458849944504948e-03,"ok","",2026-03-06 00:26:12
J1,131,1,8.41366846537283664e-03,"ok","",2026-03-06 00:26:17
J1,132,1,8.08299556263136765e-03,"ok","",2026-03-06 00:26:22
J1,133,1,8.87873144761286426e-03,"ok","",2026-03-06 00:26:26
J1,134,1,8.54559365481577516e-03,"ok","",2026-03-06 00:26:30
J1,135,1,8.78278841813084910e-03,"ok","",2026-03-06 00:26:35
J1,136,1,8.44964722458385609e-03,"ok","",2026-03-06 00:26:39
J1,137,1,8.21366111018839718e-03,"ok","",2026-03-06 00:26:44
J1,138,1,7.88311160365573472e-03,"ok","",2026-03-06 00:26:48
J1,139,1,8.31265412634607515e-03,"ok","",2026-03-06 00:26:53
J1,140,1,7.98202634424427516e-03,"ok","",2026-03-06 00:26:58
J1,141,1,7.75363031425335692e-03,"ok","",2026-03-06 00:27:02
J1,142,1,7.39965587582958051e-03,"ok","",2026-03-06 00:27:07
J1,143,1,7.62676726822775209e-03,"ok","",2026-03-06 00:27:11
J1,144,1,7.28019086421127782e-03,"ok","",2026-03-06 00:27:16
J1,145,1,7.05434504315327616e-03,"ok","",2026-03-06 00:27:20
J1,146,1,6.72931116411135122e-03,"ok","",2026-03-06 00:27:25
J1,147,1,8.47100428185854071e-03,"ok","",2026-03-06 00:27:30
